date,time,stock,alert_type,score,alert_price,followed_up
05-01-2026,12:50:20,YESBANK,BULLISH,0,22.69,FALSE
05-01-2026,13:22:31,BANDHANBNK,BULLISH,0,147.97,FALSE
05-01-2026,13:24:23,BANDHANBNK,BULLISH,0,147.96,FALSE
05-01-2026,13:26:51,TATASTEEL,BULLISH,0,186.41,FALSE
05-01-2026,13:29:46,TATASTEEL,BULLISH,0,186.28,FALSE
05-01-2026,13:32:08,BEL,BULLISH,0,416.85,FALSE
05-01-2026,13:32:11,BEL,BULLISH,0,416.85,FALSE
05-01-2026,13:45:19,UNIONBANK,BULLISH,0,161.25,FALSE
05-01-2026,13:45:19,UNIONBANK,BULLISH,0,161.25,FALSE
05-01-2026,13:51:40,YESBANK,BULLISH,0,22.69,FALSE
05-01-2026,13:51:40,YESBANK,BULLISH,0,22.69,FALSE
05-01-2026,13:55:58,BEL,BULLISH,0,415.45,FALSE
05-01-2026,13:55:59,TATASTEEL,BULLISH,0,186.23,FALSE
05-01-2026,13:56:00,BANDHANBNK,BULLISH,0,147.52,FALSE
05-01-2026,14:03:39,YESBANK,BULLISH,0,22.65,FALSE
05-01-2026,14:56:23,BEL,BULLISH,0,416.35,FALSE
05-01-2026,14:56:25,TATASTEEL,BULLISH,0,186.95,FALSE
05-01-2026,14:56:27,BANDHANBNK,BULLISH,0,148.11,FALSE
05-01-2026,15:03:54,YESBANK,BULLISH,0,22.97,FALSE
05-01-2026,15:15:38,UNIONBANK,BULLISH,0,163.23,FALSE
05-01-2026,15:56:27,BEL,BULLISH,0,415.5,FALSE
05-01-2026,15:56:29,TATASTEEL,BULLISH,0,186.72,FALSE
05-01-2026,16:04:07,YESBANK,BULLISH,0,22.93,FALSE
05-01-2026,16:16:16,UNIONBANK,BULLISH,0,163.67,FALSE
05-01-2026,16:57:07,BEL,BULLISH,0,415.5,FALSE
05-01-2026,16:57:07,TATASTEEL,BULLISH,0,186.72,FALSE
02-01-2026,09:17:01,IDEA,BULLISH,0,11.9,FALSE
02-01-2026,09:17:02,RECLTD,BULLISH,0,373.2,FALSE
02-01-2026,09:17:03,TMPV,BULLISH,0,373.15,FALSE
02-01-2026,09:18:58,NATIONALUM,BULLISH,0,320.6,FALSE
02-01-2026,09:19:55,MOTHERSON,BULLISH,0,124.56,FALSE
02-01-2026,09:22:09,PFC,BULLISH,0,368.4,FALSE
02-01-2026,09:29:02,ASHOKLEY,BULLISH,0,183.99,FALSE
02-01-2026,09:50:59,COALINDIA,BULLISH,0,408.2,FALSE
02-01-2026,10:04:24,BEL,BULLISH,0,406,FALSE
02-01-2026,10:11:33,IDFCFIRSTB,BULLISH,0,87.03,FALSE
02-01-2026,10:15:13,BHEL,BULLISH,0,296.8,FALSE
02-01-2026,10:17:53,IDEA,BULLISH,0,11.93,FALSE
02-01-2026,10:17:54,RECLTD,BULLISH,0,380.5,FALSE
02-01-2026,10:19:23,NATIONALUM,BULLISH,0,325.3,FALSE
02-01-2026,10:22:15,PFC,BULLISH,0,379.1,FALSE
02-01-2026,10:26:02,YESBANK,BULLISH,0,21.85,FALSE
02-01-2026,10:26:43,IREDA,BULLISH,0,143.89,FALSE
02-01-2026,10:29:32,ASHOKLEY,BULLISH,0,184.5,FALSE
02-01-2026,10:51:36,COALINDIA,BULLISH,0,415.45,FALSE
02-01-2026,10:58:13,SUZLON,BULLISH,0,53.74,FALSE
02-01-2026,11:16:01,BHEL,BULLISH,0,297.05,FALSE
02-01-2026,11:18:38,RECLTD,BULLISH,0,383.2,FALSE
02-01-2026,11:19:36,NATIONALUM,BULLISH,0,326.25,FALSE
02-01-2026,11:22:33,PFC,BULLISH,0,379.3,FALSE
02-01-2026,11:26:02,YESBANK,BULLISH,0,22.23,FALSE
02-01-2026,11:29:37,ASHOKLEY,BULLISH,0,184.2,FALSE
02-01-2026,11:31:06,IDEA,BULLISH,0,11.83,FALSE
02-01-2026,11:31:07,IREDA,BULLISH,0,146.05,FALSE
02-01-2026,11:51:55,COALINDIA,BULLISH,0,416.85,FALSE
02-01-2026,11:58:33,SUZLON,BULLISH,0,54.13,FALSE
02-01-2026,11:59:16,IRFC,BULLISH,0,129.11,FALSE
02-01-2026,12:16:18,BHEL,BULLISH,0,296.4,FALSE
02-01-2026,12:19:17,RECLTD,BULLISH,0,384.2,FALSE
02-01-2026,12:22:39,PFC,BULLISH,0,378.9,FALSE
02-01-2026,12:26:18,YESBANK,BULLISH,0,22.23,FALSE
02-01-2026,12:28:46,IDEA,BULLISH,0,11.87,FALSE
02-01-2026,12:28:46,YESBANK,BULLISH,0,22.26,FALSE
02-01-2026,12:28:47,RECLTD,BULLISH,0,384.25,FALSE
02-01-2026,12:28:48,COALINDIA,BULLISH,0,422,FALSE
02-01-2026,12:28:49,ASHOKLEY,BULLISH,0,186.4,FALSE
02-01-2026,12:28:50,SUZLON,BULLISH,0,54.43,FALSE
02-01-2026,12:28:51,PFC,BULLISH,0,379.05,FALSE
02-01-2026,12:28:51,IREDA,BULLISH,0,147.07,FALSE
02-01-2026,12:28:52,BHEL,BULLISH,0,297.45,FALSE
02-01-2026,12:28:57,IRFC,BULLISH,0,129.33,FALSE
02-01-2026,13:29:02,IDEA,BULLISH,0,11.87,FALSE
02-01-2026,13:29:03,YESBANK,BULLISH,0,22.3,FALSE
02-01-2026,13:29:04,COALINDIA,BULLISH,0,427.55,FALSE
02-01-2026,13:29:05,RECLTD,BULLISH,0,382.85,FALSE
02-01-2026,13:29:07,ASHOKLEY,BULLISH,0,186.66,FALSE
02-01-2026,13:29:09,SUZLON,BULLISH,0,54.38,FALSE
02-01-2026,13:29:09,PFC,BULLISH,0,377.05,FALSE
02-01-2026,13:29:10,BHEL,BULLISH,0,298.1,FALSE
02-01-2026,13:29:12,IREDA,BULLISH,0,146.4,FALSE
02-01-2026,13:29:14,IRFC,BULLISH,0,128.92,FALSE
02-01-2026,13:46:23,IDEA,BULLISH,0,11.88,FALSE
02-01-2026,13:46:24,YESBANK,BULLISH,0,22.28,FALSE
02-01-2026,13:46:25,COALINDIA,BULLISH,0,427.5,FALSE
02-01-2026,13:46:26,RECLTD,BULLISH,0,382.6,FALSE
02-01-2026,13:46:28,SUZLON,BULLISH,0,54.4,FALSE
02-01-2026,13:46:28,ASHOKLEY,BULLISH,0,187.2,FALSE
02-01-2026,13:46:29,BHEL,BULLISH,0,298.35,FALSE
02-01-2026,13:46:30,PFC,BULLISH,0,376.9,FALSE
02-01-2026,13:46:31,IREDA,BULLISH,0,145.8,FALSE
02-01-2026,13:46:36,BANKBARODA,BULLISH,0,306.85,FALSE
02-01-2026,14:47:02,IDEA,BULLISH,0,11.89,FALSE
02-01-2026,14:47:02,YESBANK,BULLISH,0,22.33,FALSE
02-01-2026,14:47:04,COALINDIA,BULLISH,0,429.25,FALSE
02-01-2026,14:47:05,BHEL,BULLISH,0,300.9,FALSE
02-01-2026,14:47:06,SUZLON,BULLISH,0,54.49,FALSE
02-01-2026,14:47:07,RECLTD,BULLISH,0,382.85,FALSE
02-01-2026,14:47:07,ASHOKLEY,BULLISH,0,186.7,FALSE
02-01-2026,14:47:08,PFC,BULLISH,0,376.95,FALSE
02-01-2026,14:47:09,IREDA,BULLISH,0,147.06,FALSE
02-01-2026,14:51:30,BANKBARODA,BULLISH,0,306.05,FALSE
02-01-2026,15:47:31,IDEA,BULLISH,0,11.93,FALSE
02-01-2026,15:47:33,YESBANK,BULLISH,0,22.47,FALSE
02-01-2026,15:47:34,COALINDIA,BULLISH,0,432,FALSE
02-01-2026,15:47:35,BHEL,BULLISH,0,301.5,FALSE
